Troco      | Quantidade | Ultima Moeda | Moedas Utilizadas
0          | 0          | -            | Sem moedas utilizadas
1          | 1          | 1            | [1]
2          | 2          | 1            | [1, 1]
3          | 1          | 3            | [3]
4          | 2          | 1            | [3, 1]
5          | 3          | 1            | [3, 1, 1]
6          | 2          | 3            | [3, 3]
7          | 3          | 1            | [3, 3, 1]
8          | 4          | 1            | [3, 3, 1, 1]
9          | 3          | 3            | [3, 3, 3]
10         | 4          | 1            | [3, 3, 3, 1]
11         | 5          | 1            | [3, 3, 3, 1, 1]
12         | 1          | 12           | [12]
13         | 2          | 1            | [12, 1]
14         | 3          | 1            | [12, 1, 1]
15         | 1          | 15           | [15]
16         | 2          | 1            | [15, 1]
17         | 3          | 1            | [15, 1, 1]
18         | 2          | 3            | [15, 3]
19         | 3          | 1            | [15, 3, 1]
20         | 4          | 1            | [15, 3, 1, 1]
21         | 3          | 3            | [15, 3, 3]
22         | 4          | 1            | [15, 3, 3, 1]
23         | 5          | 1            | [15, 3, 3, 1, 1]
24         | 2          | 12           | [12, 12]
25         | 3          | 1            | [12, 12, 1]
26         | 4          | 1            | [12, 12, 1, 1]
27         | 2          | 12           | [15, 12]
28         | 3          | 1            | [15, 12, 1]
29         | 4          | 1            | [15, 12, 1, 1]
30         | 2          | 15           | [15, 15]
31         | 3          | 1            | [15, 15, 1]
32         | 4          | 1            | [15, 15, 1, 1]
33         | 3          | 3            | [15, 15, 3]
34         | 4          | 1            | [15, 15, 3, 1]
35         | 5          | 1            | [15, 15, 3, 1, 1]
36         | 3          | 12           | [12, 12, 12]
37         | 4          | 1            | [12, 12, 12, 1]
38         | 5          | 1            | [12, 12, 12, 1, 1]
39         | 3          | 12           | [15, 12, 12]
40         | 4          | 1            | [15, 12, 12, 1]
41         | 5          | 1            | [15, 12, 12, 1, 1]
42         | 3          | 12           | [15, 15, 12]
43         | 4          | 1            | [15, 15, 12, 1]
44         | 5          | 1            | [15, 15, 12, 1, 1]
45         | 3          | 15           | [15, 15, 15]
